id,name,total_quantity,total_points
80641023,Gritty,0,0
171699675,Temdral,0,0
171832831,Nommaz,0,0
172304504,Blazé,0,0
173251219,Shortieshots,0,0
173311170,Tink,0,0
173937275,Kíttykat,0,0
174435248,Zythalyn,0,0
175300789,Stoneadin,0,0
177719478,Lupine,0,0
179042429,Vanísh,0,0
182340448,Mythtic,0,0
182844310,Tíger,0,0
182902447,Gizella,0,0
184167090,Drongo,0,0
184736763,Mookí,0,0
185175594,Zalír,0,0
185292465,Físh,0,0
185513791,Sherlyne,0,0
185928704,Lemixclaw,0,0
186110183,Warlóck,0,0
186275595,Danto,0,0
186686159,Cradwick,0,0
187056347,Perthion,0,0
187415120,Wisper,0,0
187833162,Wednésday,0,0
188039876,Gnomagéddon,0,0
194165739,Brínn,0,0
220856629,Chuknorrís,0,0
411972,Hellgnome,3514,28360
881626,Trix,1001,8920
34321071,Endar,1440,10990
66053163,Saeko,1787,14070
74897026,Hotmezz,2164,18795
83940663,Aztella,669,5995
85508890,Lookatmebaby,1107,9900
85639235,Kwagga,1907,16465
85870907,Elgaros,1471,13085
87675764,Rusuu,1433,11920
88214463,Coldwarz,1283,11810
98166633,Boychefkok,926,7855
98377281,Fetalouda,2189,18670
101432743,Mistapeepee,1980,17485
101911674,Lowtide,1002,8525
103934172,Didan,1914,16815
104274165,Béarpró,1457,12060
104280042,Màssive,2761,22825
106811434,Tosee,1360,11265
108951408,Iddybiddy,2090,18115
109102427,Shíftii,2758,23780
111110985,Hanana,3601,28960
116683021,Castorel,1307,10140
116708097,Nonea,4287,34015
119545429,Lafavele,648,5165
121792480,Bettybones,1824,15730
124241260,Visilya,226,2015
128452530,Kafál,2967,25260
130460081,Gildarion,1466,13065
130930399,Kazeshíní,3486,29135
131695314,Spazzingout,2841,23360
133004620,Kanters,3319,27380
133011836,Nilvek,5642,48885
133088290,Vados,3282,25675
133423620,Obscurity,2902,22535
133769874,Xenomatter,1107,9900
134781063,Bouchon,1166,10055
137825129,Lafvel,672,5350
137892595,Demonalpha,2766,21815
137900301,Rosestormrag,3887,32025
138173887,Aression,1107,9900
142613532,Shopaholly,2407,21515
144107654,Ashadori,3353,26275
145132172,Troopp,3835,31295
147047862,Rhoned,2369,19275
149691896,Redtubeme,1784,14985
153654841,Ghin,3456,28890
157854219,Anastari,3341,26175
159812082,Shado,2910,22625
161166041,Aiyone,2839,22270
161430909,Lorrax,2989,25405
163707722,Bullshotta,1019,8330
163759599,Otius,2436,19915
164888221,Swaxx,1304,10735
165101607,Zbancioc,1255,10305
166198316,Beastmastery,2875,24530
