Name,Realm,Level,Class,Race,Rank,AQ,AP,Alt?,Main,iLvl,Last Login,Raider.io,Armory,Logs
Hellgnome,grim-batol,90,Warlock,Human,Full Moon,3514.0,28360.0,False,Hellgnome,235,2026-03-14 20:21:27,https://raider.io/characters/eu/grim-batol/hellgnome,https://worldofwarcraft.blizzard.com/en-gb/character/eu/grim-batol/hellgnome,https://www.warcraftlogs.com/character/eu/grim-batol/hellgnome
Trix,korgall,90,Warlock,Human,Waxing Moon,1001.0,8920.0,False,Trix,219,2026-03-15 22:57:48,https://raider.io/characters/eu/korgall/trix,https://worldofwarcraft.blizzard.com/en-gb/character/eu/korgall/trix,https://www.warcraftlogs.com/character/eu/korgall/trix
Endar,drakthul,80,Paladin,Human,Full Moon,1440.0,10990.0,False,Endar,145,2026-03-05 19:09:03,https://raider.io/characters/eu/drakthul/endar,https://worldofwarcraft.blizzard.com/en-gb/character/eu/drakthul/endar,https://www.warcraftlogs.com/character/eu/drakthul/endar
Saeko,hellscream,90,Priest,Night Elf,Super Moon,1787.0,14070.0,False,Saeko,243,2026-03-16 00:37:46,https://raider.io/characters/eu/hellscream/saeko,https://worldofwarcraft.blizzard.com/en-gb/character/eu/hellscream/saeko,https://www.warcraftlogs.com/character/eu/hellscream/saeko
Hotmezz,korgall,68,Shaman,Dwarf,Half Moon,2164.0,18795.0,False,Hotmezz,51,2026-03-15 16:37:54,https://raider.io/characters/eu/korgall/hotmezz,https://worldofwarcraft.blizzard.com/en-gb/character/eu/korgall/hotmezz,https://www.warcraftlogs.com/character/eu/korgall/hotmezz
Aztella,bloodscalp,80,Hunter,Blood Elf,Full Moon,669.0,5995.0,False,Aztella,86,2026-03-15 21:45:48,https://raider.io/characters/eu/bloodscalp/aztella,https://worldofwarcraft.blizzard.com/en-gb/character/eu/bloodscalp/aztella,https://www.warcraftlogs.com/character/eu/bloodscalp/aztella
Lookatmebaby,burning-steppes,90,Warrior,Draenei,Full Moon,1107.0,9900.0,False,Lookatmebaby,239,2026-03-16 12:32:43,https://raider.io/characters/eu/burning-steppes/lookatmebaby,https://worldofwarcraft.blizzard.com/en-gb/character/eu/burning-steppes/lookatmebaby,https://www.warcraftlogs.com/character/eu/burning-steppes/lookatmebaby
Kwagga,burning-steppes,90,Priest,Human,Super Moon,1907.0,16465.0,False,Kwagga,213,2026-03-15 19:54:38,https://raider.io/characters/eu/burning-steppes/kwagga,https://worldofwarcraft.blizzard.com/en-gb/character/eu/burning-steppes/kwagga,https://www.warcraftlogs.com/character/eu/burning-steppes/kwagga
Elgaros,burning-steppes,80,Priest,Human,Waxing Moon,1471.0,13085.0,False,Elgaros,686,2026-01-11 20:40:53,https://raider.io/characters/eu/burning-steppes/elgaros,https://worldofwarcraft.blizzard.com/en-gb/character/eu/burning-steppes/elgaros,https://www.warcraftlogs.com/character/eu/burning-steppes/elgaros
Rusuu,executus,88,Hunter,Dwarf,Full Moon,1433.0,11920.0,False,Rusuu,175,2026-03-15 17:41:27,https://raider.io/characters/eu/executus/rusuu,https://worldofwarcraft.blizzard.com/en-gb/character/eu/executus/rusuu,https://www.warcraftlogs.com/character/eu/executus/rusuu
Coldwarz,executus,80,Mage,Human,Half Moon,1283.0,11810.0,False,Coldwarz,97,2026-03-06 13:38:47,https://raider.io/characters/eu/executus/coldwarz,https://worldofwarcraft.blizzard.com/en-gb/character/eu/executus/coldwarz,https://www.warcraftlogs.com/character/eu/executus/coldwarz
Boychefkok,bloodfeather,90,Paladin,Human,Waxing Moon,926.0,7855.0,False,Boychefkok,180,2026-03-15 22:27:43,https://raider.io/characters/eu/bloodfeather/boychefkok,https://worldofwarcraft.blizzard.com/en-gb/character/eu/bloodfeather/boychefkok,https://www.warcraftlogs.com/character/eu/bloodfeather/boychefkok
Fetalouda,bloodfeather,80,Paladin,Human,New Moon,2189.0,18670.0,False,Fetalouda,629,2025-11-15 16:51:57,https://raider.io/characters/eu/bloodfeather/fetalouda,https://worldofwarcraft.blizzard.com/en-gb/character/eu/bloodfeather/fetalouda,https://www.warcraftlogs.com/character/eu/bloodfeather/fetalouda
Mistapeepee,draenor,90,Shaman,Troll,Waxing Moon,1980.0,17485.0,False,Mistapeepee,230,2026-03-16 13:31:39,https://raider.io/characters/eu/draenor/mistapeepee,https://worldofwarcraft.blizzard.com/en-gb/character/eu/draenor/mistapeepee,https://www.warcraftlogs.com/character/eu/draenor/mistapeepee
Lowtide,korgall,74,Mage,Human,New Moon,1002.0,8525.0,False,Lowtide,454,2026-01-09 22:48:48,https://raider.io/characters/eu/korgall/lowtide,https://worldofwarcraft.blizzard.com/en-gb/character/eu/korgall/lowtide,https://www.warcraftlogs.com/character/eu/korgall/lowtide
Didan,veknilash,80,Shaman,Draenei,Active Moon,1914.0,16815.0,False,Didan,634,2025-12-08 19:43:51,https://raider.io/characters/eu/veknilash/didan,https://worldofwarcraft.blizzard.com/en-gb/character/eu/veknilash/didan,https://www.warcraftlogs.com/character/eu/veknilash/didan
Béarpró,shattered-hand,80,Druid,Worgen,Full Moon,1457.0,12060.0,False,Béarpró,105,2026-03-15 10:43:54,https://raider.io/characters/eu/shattered-hand/béarpró,https://worldofwarcraft.blizzard.com/en-gb/character/eu/shattered-hand/béarpró,https://www.warcraftlogs.com/character/eu/shattered-hand/béarpró
Màssive,shattered-hand,85,Monk,Pandaren,Full Moon,2761.0,22825.0,False,Màssive,152,2026-03-14 20:41:53,https://raider.io/characters/eu/shattered-hand/màssive,https://worldofwarcraft.blizzard.com/en-gb/character/eu/shattered-hand/màssive,https://www.warcraftlogs.com/character/eu/shattered-hand/màssive
